"Nombre","NombreMostrado","Estado","TipoInicio","Cuenta","RutaImagen","Ejecutable","EnRutaEstandar","RutaSinComillas","Descripcion","PID"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.","0"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","True","False","Windows infrastructure service that controls which background tasks can run on the system.","844"
"Browser","Computer Browser","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Maintains an updated list of computers on the network and supplies this list to computers designated as browsers. If this service is stopped, this list will not be updated or maintained. If this service is disabled, any services that explicitly depend on it will fail to start.","5376"
"bthserv","Bluetooth Support Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.","0"
"camsvc","Capability Access Manager Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k appmodel -p","C:\Windows\system32\svchost.exe","True","False","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities","1532"
"CDPSvc","Connected Devices Platform Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","This service is used for Connected Devices Platform scenarios","8068"
"CertPropSvc","Certificate Propagation","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs","C:\Windows\system32\svchost.exe","True","False","Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.","2340"
"CheckmkService","Checkmk Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\checkmk\service\check_mk_agent.exe""","C:\Program Files (x86)\checkmk\service\check_mk_agent.exe","True","False","Checkmk monitoring agent service - 2.3, 64-bit","3528"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k wsappx -p","C:\Windows\System32\svchost.exe","True","False","Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using Windows Store will not behave correctly.","0"
"cloudResetPwdAgent","cloud reset password agent","Stopped","Auto","LocalSystem","C:\CloudResetPwdAgent\bin\wrapper.exe -s C:\CloudResetPwdAgent\conf\wrapper.conf","C:\CloudResetPwdAgent\bin\wrapper.exe","False","False","cloud reset password agent","0"
"cloudResetPwdUpdateAgent","cloud reset password update agent","Running","Auto","LocalSystem","C:\CloudResetPwdUpdateAgent\bin\wrapper.exe -s C:\CloudResetPwdUpdateAgent\conf\wrapper.conf","C:\CloudResetPwdUpdateAgent\bin\wrapper.exe","False","False","cloud reset password update agent","3776"
"COMSysApp","COM+ System Application","Stopped","Manual","LocalSystem","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","C:\Windows\system32\dllhost.exe","True","False","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","0"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","C:\Windows\system32\svchost.exe","True","False","Manages communication between system components.","1424"
"CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p","C:\Windows\system32\svchost.exe","True","False","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Up...","3364"
"CscService","Offline Files","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state.","0"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","True","False","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","844"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Process Declared Configuration documents recevied from MDM and other channels and perform configurations on device","0"
"defragsvc","Optimize drives","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k defragsvc","C:\Windows\system32\svchost.exe","True","False","Helps the computer run more efficiently by optimizing files on storage drives.","0"
"DeviceAssociationService","Device Association Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Enables pairing between the system and wired or wireless devices.","0"
"DeviceInstall","Device Install Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","True","False","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","0"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Enables apps to discover devices with a backgroud task","0"
"Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","1760"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual","LocalSystem","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","True","False","Diagnostics Hub Standard Collector Service. When running, this service collects real time ETW events and processes them.","0"
"DiagTrack","Connected User Experiences and Telemetry","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k utcsvc -p","C:\Windows\System32\svchost.exe","True","False","The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally, this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Win...","3480"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","Manages the connection and configuration of local and remote displays","1824"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Performs Device Enrollment Activities for Device Management","0"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Routes Wireless Application Protocol (WAP) Push messages received by the device and synchronizes Device Management sessions","0"
"Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p","C:\Windows\system32\svchost.exe","True","False","The DNS Client service (dnscache) caches Domain Name System (DNS) names and registers the full computer name for this computer. If the service is stopped, DNS names will continue to be resolved. However, the results of DNS name queries will not be cached and the computer's name will not be registere...","680"
"DoSvc","Delivery Optimization","Stopped","Manual","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p","C:\Windows\System32\svchost.exe","True","False","Performs content delivery optimization tasks","0"
"dot3svc","Wired AutoConfig","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","The Wired AutoConfig (DOT3SVC) service is responsible for performing IEEE 802.1X authentication on Ethernet interfaces. If your current wired network deployment enforces 802.1X authentication, the DOT3SVC service should be configured to run for establishing Layer 2 connectivity and/or providing acce...","0"
"DPS","Diagnostic Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","C:\Windows\System32\svchost.exe","True","False","The Diagnostic Policy Service enables problem detection, troubleshooting and resolution for Windows components.  If this service is stopped, diagnostics will no longer function.","8960"
"DsmSvc","Device Setup Manager","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Enables the detection, download and installation of device-related software. If this service is disabled, devices may be configured with outdated software, and may not work correctly.","0"
"DsSvc","Data Sharing Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","Provides data brokering between applications.","16284"
"EapHost","Extensible Authentication Protocol","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","The Extensible Authentication Protocol (EAP) service provides network authentication in such scenarios as 802.1x wired and wireless, VPN, and Network Access Protection (NAP).  EAP also provides application programming interfaces (APIs) that are used by network access clients, including wireless and ...","0"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","True","False","Keeps your Microsoft software up to date. If this service is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Microsoft software using i...","0"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","True","False","Keeps your Microsoft software up to date. If this service is disabled or stopped, your Microsoft software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Microsoft software using i...","0"
"EFS","Encrypting File System (EFS)","Stopped","Manual","LocalSystem","C:\Windows\System32\lsass.exe","C:\Windows\System32\lsass.exe","True","False","Provides the core file encryption technology used to store encrypted files on NTFS file system volumes. If this service is stopped or disabled, applications will be unable to access encrypted files.","0"
"embeddedmode","Embedded Mode","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","The Embedded Mode service enables scenarios related to Background Applications.  Disabling this service will prevent Background Applications from being activated.","0"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k appmodel -p","C:\Windows\system32\svchost.exe","True","False","Enables enterprise application management.","0"
"EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","This service manages events and event logs. It supports logging events, querying events, subscribing to events, archiving event logs, and managing event metadata. It can display events in both XML and plain text format. Stopping this service may compromise security and reliability of the system.","1600"
"EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any servi...","1872"
"fdPHost","Function Discovery Provider Host","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","The FDPHOST service hosts the Function Discovery (FD) network discovery providers. These FD providers supply network discovery services for the Simple Services Discovery Protocol (SSDP) and Web Services – Discovery (WS-D) protocol. Stopping or disabling the FDPHOST service will disable network disco...","3032"
"FDResPub","Function Discovery Resource Publication","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","C:\Windows\system32\svchost.exe","True","False","Publishes this computer and resources attached to this computer so they can be discovered over the network.  If this service is stopped, network resources will no longer be published and they will not be discovered by other computers on the network.","4116"
"FileSyncHelper","FileSyncHelper","Stopped","Manual","LocalSystem","""C:\Program Files\Microsoft OneDrive\26.134.0713.0004\FileSyncHelper.exe""","C:\Program Files\Microsoft OneDrive\26.134.0713.0004\FileSyncHelper.exe","True","False","Helper service for OneDrive","0"
"FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p","C:\Windows\system32\svchost.exe","True","False","Optimizes performance of applications by caching commonly used font data. Applications will start this service if it is not already running. It can be disabled, though doing so will degrade application performance.","1700"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual","NT Authority\LocalService","C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","True","False","Optimizes performance of Windows Presentation Foundation (WPF) applications by caching commonly used font data. WPF applications will start this service if it is not already running. It can be disabled, though doing so will degrade the performance of WPF applications.","0"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k Camera","C:\Windows\System32\svchost.exe","True","False","Enables multiple clients to access video frames from camera devices.","0"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k CameraMonitor","C:\Windows\System32\svchost.exe","True","False","Monitors the health and state for the Windows Camera Frame Server service.","0"
"ftpsvc","Microsoft FTP Service","Running","Auto","localSystem","C:\Windows\system32\svchost.exe -k ftpsvc","C:\Windows\system32\svchost.exe","True","False","Enables this server to be a File Transfer Protocol (FTP) server. If this service is stopped, the server cannot function as an FTP server. If this service is disabled, any services that explicitly depend on it will fail to start.","3456"
"Gatekeeper64","SAP Business One Browser Access Server Gatekeeper (64-bit)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One BAS GateKeeper\tomcat\bin\tomcat8.exe"" //RS//Gatekeeper64","C:\Program Files\SAP\SAP Business One BAS GateKeeper\tomcat\bin\tomcat8.exe","True","False","SAP Business One Browser Access Server Gatekeeper (64-bit)","31564"
"gpsvc","Group Policy Client","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","The service is responsible for applying settings configured by administrators for the computer and users through the Group Policy component. If the service is disabled, the settings will not be applied and applications and components will not be manageable through Group Policy. Any components or app...","1844"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup","C:\Windows\System32\svchost.exe","True","False","Graphics performance monitor service","0"
"hidserv","Human Interface Device Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Activates and maintains the use of hot buttons on keyboards, remote controls, and other multimedia devices. It is recommended that you keep this service running.","0"
"HvHost","HV Host Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Provides an interface for the Hyper-V hypervisor to provide per-partition performance counters to the host operating system.","0"
"IISADMIN","IIS Admin Service","Running","Auto","localSystem","C:\Windows\system32\inetsrv\inetinfo.exe","C:\Windows\system32\inetsrv\inetinfo.exe","True","False","Enables this server to administer the IIS metabase. The IIS metabase stores configuration for the SMTP and FTP services. If this service is stopped, the server will be unable to configure SMTP or FTP. If this service is disabled, any services that explicitly depend on it will fail to start.","3464"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","The IKEEXT service hosts the Internet Key Exchange (IKE) and Authenticated Internet Protocol (AuthIP) keying modules. These keying modules are used for authentication and key exchange in Internet Protocol security (IPsec). Stopping or disabling the IKEEXT service will disable IKE and AuthIP key exch...","3016"
"InstallService","Microsoft Store Install Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\svchost.exe","True","False","Provides infrastructure support for the Microsoft Store.  This service is started on demand and if disabled then installations will not function properly.","16992"
"iphlpsvc","IP Helper","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k NetSvcs -p","C:\Windows\System32\svchost.exe","True","False","Provides tunnel connectivity using IPv6 transition technologies (6to4, ISATAP, Port Proxy, and Teredo), and IP-HTTPS. If this service is stopped, the computer will not have the enhanced connectivity benefits that these technologies offer.","3440"
"KeyIso","CNG Key Isolation","Running","Manual","LocalSystem","C:\Windows\system32\lsass.exe","C:\Windows\system32\lsass.exe","True","False","The CNG key isolation service is hosted in the LSA process. The service provides key process isolation to private keys and associated cryptographic operations as required by the Common Criteria. The service stores and uses long-lived keys in a secure process complying with Common Criteria requiremen...","716"
"KPSSVC","KDC Proxy Server service (KPS)","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k KpsSvcGroup","C:\Windows\system32\svchost.exe","True","False","KDC Proxy Server service runs on edge servers to proxy Kerberos protocol messages to domain controllers on the corporate network.","0"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p","C:\Windows\System32\svchost.exe","True","False","Coordinates transactions between the Distributed Transaction Coordinator (MSDTC) and the Kernel Transaction Manager (KTM). If it is not needed, it is recommended that this service remain stopped. If it is needed, both MSDTC and KTM will start this service automatically. If this service is disabled, ...","0"
"LanmanServer","Server","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k smbsvcs","C:\Windows\System32\svchost.exe","True","False","Supports file, print, and named-pipe sharing over the network for this computer. If this service is stopped, these functions will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","3088"
