"Control","Tema","Titulo","Descripcion","Objetivo","Cobertura","Capas","Colectores"
"A.5.30","Organizacional","Preparacion de las TIC para la continuidad de negocio","La preparacion de las tecnologias de informacion y comunicacion debe planificarse, implementarse, mantenerse y probarse con base en los objetivos de continuidad de negocio y los requisitos de continuidad de las TIC.","Verificar existencia de respaldos, instantaneas y capacidad de recuperacion.","Parcial","L8","L8-01"
"A.5.37","Organizacional","Procedimientos operativos documentados","Los procedimientos operativos para las instalaciones de procesamiento de informacion deben documentarse y ponerse a disposicion del personal que los necesite.","Identificar automatizaciones no documentadas (tareas programadas y autoarranque sin dueno).","Indicio","L5","L5-02"
"A.7.9","Fisico","Seguridad de los activos fuera de las instalaciones","Los activos situados fuera de las instalaciones de la organizacion deben protegerse considerando los distintos riesgos derivados de operar fuera del perimetro fisico controlado.","Verificar cifrado de volumenes para activos moviles o alojados fuera del centro de datos propio.","Indicio","L1, L2","L1-01, L2-03"
"A.7.10","Fisico","Medios de almacenamiento","Los medios de almacenamiento deben gestionarse a lo largo de su ciclo de vida de adquisicion, uso, transporte y disposicion, conforme al esquema de clasificacion y a los requisitos de manejo de la organizacion.","Inventariar volumenes y detectar medios extraibles conectados al servidor.","Parcial","L1, L8","L1-01, L8-01"
"A.8.1","Tecnologico","Dispositivos finales de usuario","La informacion almacenada, procesada o accesible a traves de dispositivos finales de usuario debe protegerse mediante configuraciones y controles apropiados.","Verificar la configuracion de proteccion del dispositivo y su firmware.","Parcial","L1, L2","L1-01, L2-03"
"A.8.2","Tecnologico","Derechos de acceso privilegiado","La asignacion y el uso de derechos de acceso privilegiado deben restringirse y gestionarse, otorgandose solo cuando sea necesario y sujetos a revision periodica.","Enumerar administradores locales, cuentas de servicio privilegiadas y tareas con privilegio maximo.","Total","L6, L5","L6-01, L5-01"
"A.8.3","Tecnologico","Restriccion de acceso a la informacion","El acceso a la informacion y a otros activos asociados debe restringirse conforme a la politica de control de acceso establecida por la organizacion.","Revisar permisos de recursos compartidos de red y su alcance.","Parcial","L7","L7-01"
"A.8.5","Tecnologico","Autenticacion segura","Deben implementarse tecnologias y procedimientos de autenticacion segura acordes con las restricciones de acceso y con la politica de control de acceso.","Verificar NLA en RDP, bloqueo de cuentas, longitud de contrasena y cifrado del canal de administracion.","Parcial","L6, L7","L6-01, L7-01"
"A.8.6","Tecnologico","Gestion de la capacidad","El uso de los recursos debe monitorearse y ajustarse conforme a los requisitos de capacidad actuales y proyectados, para asegurar el desempeno requerido de los sistemas.","Medir uso de CPU, memoria y almacenamiento frente a umbrales definidos.","Total","L9, L8","L9-01, L8-01"
"A.8.7","Tecnologico","Proteccion contra codigo malicioso","Debe implementarse proteccion contra codigo malicioso, respaldada por una adecuada concienciacion de los usuarios.","Verificar estado del antimalware, vigencia de firmas, proteccion en tiempo real y alcance de las exclusiones.","Total","L2","L2-03"
"A.8.8","Tecnologico","Gestion de vulnerabilidades tecnicas","Debe obtenerse informacion sobre las vulnerabilidades tecnicas de los sistemas de informacion en uso, evaluarse la exposicion de la organizacion a dichas vulnerabilidades y tomarse las medidas apropiadas.","Evaluar latencia de parcheo del SO y detectar software y componentes fuera de soporte del proveedor.","Parcial","L2, L3, L4","L2-02, L3-01, L4-05"
"A.8.9","Tecnologico","Gestion de la configuracion","Las configuraciones, incluidas las de seguridad, del hardware, software, servicios y redes deben establecerse, documentarse, implementarse, monitorearse y revisarse.","Contrastar la configuracion del sistema y sus servicios contra una linea base segura documentada.","Total","L2, L3, L5","L2-01, L2-03, L3-01, L5-01, L4-06"
"A.8.10","Tecnologico","Eliminacion de informacion","La informacion almacenada en sistemas de informacion, dispositivos o en cualquier otro medio debe eliminarse cuando ya no sea requerida.","Verificar politica de retencion de registros y acumulacion de archivos temporales.","Indicio","L8","L8-01"
"A.8.12","Tecnologico","Prevencion de fuga de datos","Deben aplicarse medidas de prevencion de fuga de datos a los sistemas, redes y demas dispositivos que procesen, almacenen o transmitan informacion sensible.","Detectar canales potenciales de exfiltracion: nube personal, P2P, medios extraibles y comparticiones abiertas.","Indicio","L4, L7","L4-01, L7-01"
"A.8.13","Tecnologico","Respaldo de la informacion","Deben mantenerse y probarse regularmente copias de respaldo de la informacion, del software y de los sistemas, conforme a la politica de respaldo acordada.","Verificar configuracion, ultima ejecucion y disponibilidad de respaldos e instantaneas.","Parcial","L8","L8-01"
"A.8.15","Tecnologico","Registro de eventos (logging)","Deben producirse, almacenarse, protegerse y analizarse registros que documenten actividades, excepciones, fallas y otros eventos relevantes.","Verificar tamano, modo de retencion, proteccion y cobertura de la politica de auditoria de los registros de eventos.","Total","L8, L2","L8-01, L2-03"
"A.8.16","Tecnologico","Actividades de monitoreo","Las redes, sistemas y aplicaciones deben monitorearse para detectar comportamientos anomalos y adoptar acciones apropiadas para evaluar potenciales incidentes de seguridad.","Verificar presencia de agentes de monitoreo, reenvio de eventos y anomalias operativas registradas.","Parcial","L8, L9, L5","L8-01, L9-01, L5-02"
"A.8.17","Tecnologico","Sincronizacion de relojes","Los relojes de los sistemas de procesamiento de informacion deben sincronizarse con fuentes de tiempo aprobadas.","Verificar el servicio de tiempo y que apunte a una fuente NTP autorizada.","Total","L2","L2-01"
"A.8.18","Tecnologico","Uso de programas utilitarios privilegiados","El uso de programas utilitarios capaces de anular los controles del sistema y de las aplicaciones debe restringirse y controlarse estrictamente.","Detectar utilitarios capaces de eludir controles del sistema y su ubicacion.","Parcial","L4, L5","L4-03, L5-01"
"A.8.19","Tecnologico","Instalacion de software en sistemas operativos","Deben implementarse procedimientos y medidas para gestionar de forma segura la instalacion de software en los sistemas operativos, asegurando que solo se instale software autorizado y que su origen sea verificable.","CONTROL EJE DE ESTA AUDITORIA. Inventario, procedencia, ubicacion, firma digital, integridad y rol arquitectonico de todo artefacto de software instalado.","Total","L4","L4-01, L4-02, L4-03, L4-04, L4-06"
"A.8.20","Tecnologico","Seguridad de redes","Las redes y los dispositivos de red deben asegurarse, gestionarse y controlarse para proteger la informacion que transita por los sistemas y aplicaciones.","Verificar el estado del firewall por perfil y la superficie de escucha del servidor.","Total","L7, L2","L7-01, L2-03"
"A.8.21","Tecnologico","Seguridad de los servicios de red","Deben identificarse, implementarse y monitorearse los mecanismos de seguridad, los niveles de servicio y los requisitos de los servicios de red, tanto propios como contratados.","Identificar servicios de red expuestos y protocolos heredados o sin cifrado habilitados.","Parcial","L7","L7-01"
"A.8.22","Tecnologico","Segregacion de redes","Los grupos de servicios de informacion, usuarios y sistemas de informacion deben segregarse en las redes de la organizacion.","Revisar interfaces, perfiles de red y alcance de escucha de los servicios sensibles.","Indicio","L7","L7-01"
"A.8.24","Tecnologico","Uso de criptografia","Deben definirse e implementarse reglas para el uso efectivo de la criptografia, incluida la gestion de claves criptograficas.","Verificar cifrado de volumenes, protocolos TLS/SChannel habilitados y presencia de algoritmos debiles.","Parcial","L2","L2-03"
"A.8.25","Tecnologico","Ciclo de vida de desarrollo seguro","Deben establecerse y aplicarse reglas para el desarrollo seguro de software y sistemas a lo largo de todo su ciclo de vida.","Identificar dependencias y gestores de paquetes de desarrollo instalados en un servidor productivo.","Indicio","L4","L4-02"
"A.8.28","Tecnologico","Codificacion segura","Deben aplicarse principios de codificacion segura al desarrollo de software, incluyendo la proteccion e integridad del codigo desplegado.","Detectar scripts operativos sin firma ni control de versiones, y la politica de ejecucion de PowerShell.","Indicio","L4","L4-03"
"A.8.31","Tecnologico","Separacion de entornos de desarrollo, prueba y produccion","Los entornos de desarrollo, prueba y produccion deben estar separados y asegurados, evitando que herramientas o datos de un entorno comprometan a otro.","Detectar SDK, compiladores o herramientas de desarrollo presentes en un servidor declarado como productivo.","Indicio","L3, L4","L3-01, L4-02, L4-06"
"A.8.32","Tecnologico","Gestion de cambios","Los cambios en las instalaciones de procesamiento de informacion y en los sistemas de informacion deben estar sujetos a procedimientos de gestion de cambios.","Establecer la trazabilidad de instalaciones y actualizaciones recientes contra cambios aprobados.","Parcial","L4, L2","L4-01, L2-02"
"A.8.34","Tecnologico","Proteccion de sistemas de informacion durante auditorias","Las pruebas de auditoria y demas actividades de aseguramiento que impliquen la evaluacion de sistemas operativos deben planificarse y acordarse entre el auditor y la direccion, minimizando su impacto sobre los procesos de negocio.","La suite opera en modo de solo lectura, evita clases WMI de efecto colateral y registra su propio impacto sobre el sistema auditado.","Total","L9","L9-01"
